"model","Kest","Sensitivity","Precision","F1","cosine_R","rmse_sig","rmse_theta","rmse_Betas","sign_Betas","fp_Betas","rmse_lambda_in","rmse_lambda_out","rmse_counts_in","rmse_counts_out","time","iter","effectiveBetas","effectiveSigs","effectiveTheta","effectiveMu","effectiveSigma2","effectiveLogPost","effectiveLogLik","effectiveLogPrior","Simulation","Scenario","n","J"
"PPF_map",8,1,1,1,0.998197337939065,0.00126333906652977,21.2067881908839,0.0128104096631412,1,0,0.00211936049766606,0.00349278581251052,0.309520089816183,0.311155740825515,5.95606091419856,300,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_13","S0_baseline",192104,100
"PPF_mcmc",8,1,1,1,0.998041509925951,0.00165958814421916,22.6079260034155,0.0131113136389644,1,0,0.00181111432613974,0.00250132890768588,0.309520295435327,0.311166531997251,26.0691940466563,NA,178.588797656502,330.875364952781,450.745789723963,910.657136874785,1424.34533894216,97.2719999063384,150,107.085568104356,"Simulation_13","S0_baseline",192104,100
"CompNMF",7,0.875,1,0.933333333333333,0.963311623296438,0.00557290326729661,104.086237033105,0.290795912183121,0,0,0.0458553083303822,0.0434176469657242,0.302997383975426,0.312002524422802,0.0135539809862773,8595,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_14","S0_baseline",165928,100
"SignatureAnalyzer",8,0.75,0.75,0.75,0.951362687013604,0.00561316065006036,73.5967667878762,0.290795912183121,0,0,0.0458512793063512,0.0433867484096727,0.302996368002886,0.311998310190624,1.1228798588117,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_14","S0_baseline",165928,100
"PPF_map",8,1,1,1,0.995549617253913,0.00149067559089417,23.3925084100446,0.0133152745113161,1,0,0.00164192271169615,0.00199466593159741,0.285919849624838,0.296282607653132,2.49488943417867,150,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_14","S0_baseline",165928,100
"PPF_mcmc",8,1,1,1,0.995826678353462,0.0018730112425899,24.7018700154636,0.0138467019665637,1,0,0.00130673326855051,0.00162596876662886,0.28592021284433,0.296277590344153,25.7148448149363,NA,152.991898508045,258.948315050507,424.514069867045,929.11093803261,1500,238.697903183491,113.70646136027,258.353953565097,"Simulation_14","S0_baseline",165928,100
"CompNMF",7,0.875,1,0.933333333333333,0.95819718572016,0.00543679520042332,124.260551022765,0.390798154307972,0,0,0.249399842087018,0.071733347451603,0.479919889283252,0.326315517342714,0.00795392195383708,3063,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_15","S0_baseline",213781,100
"SignatureAnalyzer",8,0.875,0.875,0.875,0.949494423605595,0.00542229758657177,91.9720100090354,0.390798154307972,0,0,0.249398190889564,0.0717732736531635,0.479919376968368,0.326330411212735,1.23460049629211,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_15","S0_baseline",213781,100
"PPF_map",8,1,1,1,0.998301233203936,0.00127575036035209,20.424525741645,0.00936644075826864,1,0,0.0042270131614591,0.00252728764201857,0.330902724924522,0.305441274167846,9.806236632665,380,NA,NA,NA,NA,NA,NA,NA,NA,"Simulation_15","S0_baseline",213781,100
"PPF_mcmc",8,1,1,1,0.998242815528516,0.0021978292026443,22.8640429317694,0.0104824857180934,1,0,0.00352321290665995,0.00187685642995982,0.330893988841339,0.305450897267441,33.3333994825681,NA,155.028423847286,323.763083914936,466.865906027444,1090.38139584218,1514.05252461768,146.090174398995,150,222.409739364451,"Simulation_15","S0_baseline",213781,100
