"model","rmse_counts_in","rmse_counts_out","rmse_Betas","sign_Betas","fp_Betas","attribution_acc_in","attribution_acc_out","estim_error_in","estim_error_out","brier_in","brier_out","ece_in","ece_out","mce_in","mce_out","oracle_l2_in","oracle_l2_out","oracle_kl_in","oracle_kl_out","n_mut_in","n_mut_out","Simulation","Scenario"
"map_Fixed",0.496534188801888,0.509088691450365,0.00819157636194475,1,0.0111111111111111,0.88857498393942,0.906928726636318,0.00848555053644866,0.00672520082196899,0.16146465980885,0.135322897145414,0.000798528470327635,0.00156191763426551,0.199391621201955,0.0837943835065456,0.000787656924210353,0.000694879993277936,0.00336538096942848,0.00287090470307273,395378,101707,"Simulation_11","S0_baseline"
"map_Fixed",0.325112813681782,0.288975585362935,0.0087160937630725,0.975,0.0222222222222222,0.800634744270162,0.808713816771113,0.0210399404262361,0.0222620113398985,0.281997832917088,0.270655842666339,0.00192830862423981,0.00412295199321747,0.00965466474202531,0.0415415068720526,0.00247384003982016,0.00271113625245955,0.0115972926302851,0.0125400298182339,169202,33510,"Simulation_12","S0_baseline"
"map_Fixed",0.309517822159155,0.311151881249065,0.00946411279300859,1,0.0333333333333333,0.833789187147527,0.832226430758055,0.0197319579572539,0.0208841384320033,0.237130580579406,0.240991486948326,0.00180188366727646,0.0028219040868806,0.00923053146918329,0.0386418667909631,0.00268400275613998,0.00320918199602853,0.0129971805251054,0.0147988669395966,153558,38546,"Simulation_13","S0_baseline"
"map_Fixed",0.285919883122639,0.296277481153465,0.00894092638126431,1,0.0111111111111111,0.794901993774712,0.828608797020272,0.0248858569713285,0.0192772454579057,0.288846507123955,0.244713208755329,0.00152267082241568,0.0056740079531264,0.0188389542594868,0.0183754581845516,0.00269059143694594,0.0023600309364928,0.0126055356715141,0.0110203873295906,130757,35171,"Simulation_14","S0_baseline"
"map_Fixed",0.330903181009056,0.305434478659354,0.00696334593250816,1,0.0111111111111111,0.821020731845474,0.790929352058215,0.0149427891695933,0.0194677908756478,0.256725103460301,0.298158374920767,0.00243583207875406,0.00461624696284128,0.0107632758490755,0.0184126447195879,0.00165068069467426,0.00202313296668094,0.00667617139290774,0.00857094674659657,176540,37241,"Simulation_15","S0_baseline"
"map_Fixed",0.308818505718402,0.320877658573779,0.00762385570850766,1,0.0222222222222222,0.823599437485692,0.828486330726203,0.0180724073650129,0.0171683173111848,0.250913469675103,0.24438960351189,0.00361755043046569,0.002729886261778,0.198009069545408,0.040538467219584,0.00196409446535892,0.00203136163413388,0.00822520055803473,0.00834558471720575,152885,41297,"Simulation_16","S0_baseline"
"map_Fixed",0.31275518366106,0.299305749159622,0.00911964035698612,1,0.0777777777777778,0.801263883569514,0.803347514554411,0.0168326311757947,0.0180530676220331,0.284090400746683,0.282343727584877,0.00371361570209714,0.00369308936361814,0.80045549045652,0.0814250839183817,0.00177821736135429,0.00204663242505856,0.00734892338974411,0.00817401710605799,156660,35728,"Simulation_17","S0_baseline"
"map_Fixed",0.317111478779367,0.326323295893022,0.00958822960269555,0.975,0.0333333333333333,0.824815885149622,0.831327557948958,0.0155744072589416,0.0154062280496371,0.252703518266528,0.244347647951101,0.0013914797457416,0.00263586267322127,0.0413205241575573,0.0152007174269786,0.00184688046677497,0.00192201985666792,0.00831945756597133,0.00889962906943133,160905,42710,"Simulation_18","S0_baseline"
"map_Fixed",0.275144901133797,0.255157905675245,0.0110134397279072,1,0.0666666666666667,0.786669306081376,0.759984624255237,0.0289345837560521,0.0333269267730156,0.301656756452856,0.336412931535451,0.00225320185558096,0.00418432981969879,0.0160926804094975,0.0405211147092722,0.00366293806775368,0.00437673385979251,0.0145371725764252,0.0167609122717185,121239,26015,"Simulation_19","S0_baseline"
"map_Fixed",0.399048594073072,0.449330070112127,0.00684311107570601,0.975,0,0.876542429652568,0.888999734811653,0.0101156525998136,0.0080314185050954,0.17959073817688,0.162917120341086,0.00157758767864994,0.00423551396818772,0.0248444042680827,0.0214755889413542,0.00114967625503738,0.00101278667266484,0.00535021352792914,0.00468038482113162,253172,79189,"Simulation_20","S0_baseline"
"map_Fixed",0.403474567015845,0.441192899128471,0.0358474703220836,1,0.0444444444444444,0.827818917073683,0.846007069976701,0.0660942177406649,0.0577448381136017,0.244937565461565,0.219529806356648,0.00207513410260826,0.00170732926964207,0.194113533415342,0.00739653070433688,0.0195994041901387,0.017299523006767,0.0442559754754616,0.0395715693074689,190410,49788,"Simulation_01","S1_epigenome_v025"
"map_Fixed",0.33780168124512,0.339724171570136,0.0346619556318821,1,0.0111111111111111,0.803275320280396,0.815667004653823,0.0682922407541697,0.0617736526012012,0.28316562276361,0.267078378870529,0.00300444022428898,0.0041878271688814,0.0188503806176912,0.0279382974348467,0.0192915387944579,0.0180461746250165,0.043840689602444,0.0409946428566565,165480,38463,"Simulation_02","S1_epigenome_v025"
"map_Fixed",0.364898351567109,0.333622383459612,0.0293670691392939,0.95,0.0222222222222222,0.819523086129908,0.816157260621433,0.0615534226395986,0.0621940393151554,0.25785778938777,0.261851557258405,0.00191578001041151,0.0036367117033828,0.0351811317724131,0.176781070310849,0.0159019633955453,0.0164305966073295,0.0372107756859031,0.0397115450719046,173784,39425,"Simulation_03","S1_epigenome_v025"
"map_Fixed",0.370552761090583,0.314228627536441,0.0333826886737781,1,0,0.808687133350337,0.786629960234699,0.0709706216523292,0.0789188287311254,0.271391727832134,0.302262450529177,0.00360458294506562,0.0048329967076174,0.0243740028570742,0.0176388740044449,0.0187961195658245,0.0215248448035245,0.0413778014907676,0.0467525448024524,172508,35961,"Simulation_04","S1_epigenome_v025"
"map_Fixed",0.287104670025191,0.301017165286683,0.0285254334497063,1,0.0444444444444444,0.790196430103167,0.788248619566756,0.067155857422469,0.068780971258672,0.297200851642817,0.297353482487456,0.00272395906136878,0.00518192074007155,0.0228079629729847,0.0431731747628185,0.0150346959046807,0.0151200368772516,0.0378055258661473,0.0386293320488612,128239,35315,"Simulation_05","S1_epigenome_v025"
